name,position_en,subPosition_en,poste_fr,estimated_side
Memphis Depay,Forward,Striker,BU,non
Moussa Dembélé,Forward,Striker,BU,non
Martin Terrier,Forward,Winger,AG,oui
Jeff Reine-Adélaïde,Midfielder,Attacking Midfielder,MOC,non
Bruno Guimarães,Midfielder,Central Midfielder,MC,non
Lucas Paquetá,Midfielder,Attacking Midfielder,MOC,non
Karl Toko Ekambi,Forward,Winger,AG,oui
Islam Slimani,Forward,Striker,BU,non
Tino Kadewere,Forward,Striker,BU,non
Rayan Cherki,Midfielder,Attacking Midfielder,MOC,non
Maxence Caqueret,Midfielder,Central Midfielder,MC,non
Thiago Mendes,Midfielder,Defensive Midfielder,MDC,non
Xherdan Shaqiri,Midfielder,Attacking Midfielder,MOC,non
Johann Lepenant,Midfielder,Central Midfielder,MC,non
Bradley Barcola,Forward,Winger,AG,oui
Malick Fofana,Forward,Winger,AD,oui
Ernest Nuamah,Forward,Winger,AD,oui
Saïd Benrahma,Forward,Winger,AG,oui
Nemanja Matić,Midfielder,Defensive Midfielder,MDC,non
Georges Mikautadze,Forward,Striker,BU,non
Thiago Almada,Midfielder,Attacking Midfielder,MOC,non
Pavel Šulc,Midfielder,Attacking Midfielder,MOC,non
Afonso Moreira,Forward,Winger,AD,oui
Adam Karabec,Midfielder,Attacking Midfielder,MOC,non
Martín Satriano,Forward,Striker,BU,non
Khalis Merah,Midfielder,Central Midfielder,MC,non
Tanner Tessmann,Midfielder,Defensive Midfielder,MDC,non
Ainsley Maitland-Niles,Defender,Right-Back,DD,non
Amine Gouiri,Forward,Striker,BU,non
Mariano Díaz,Forward,Striker,BU,non
Steed Malbranque,Midfielder,Attacking Midfielder,MOC,non
Vikash Dhorasoo,Midfielder,Attacking Midfielder,MOC,non
Marc-Vivien Foé,Midfielder,Central Midfielder,MC,non
Edmílson,Defender,Centre-Back,DC,non
Éric Carrière,Midfielder,Attacking Midfielder,MOC,non
Jérôme Violeau,Midfielder,Central Midfielder,MC,non
Pierre Laigle,Midfielder,Central Midfielder,MC,non
Christophe Delmotte,Defender,Full-Back,DD,oui
Nilmar,Forward,Striker,BU,non
Julien Viale-Grange,Midfielder,Central Midfielder,MC,non
Cyprien Frau,Forward,Striker,BU,non
Sergio Pedretti,Defender,Centre-Back,DC,non
Fabien Alfonso,Forward,Striker,BU,non
Ederson,Midfielder,Central Midfielder,MC,non
Jean Makoun,Midfielder,Defensive Midfielder,MDC,non
Franck Béria,Defender,Right-Back,DD,non
Pape Diakhaté,Defender,Centre-Back,DC,non
Miralem Pjanić,Midfielder,Attacking Midfielder,MOC,non
Cesar Delgado,Forward,Striker,BU,non
Anthony Mounier,Forward,Winger,AD,oui
Frédéric Piquionne,Forward,Striker,BU,non
Aly Diarra,Midfielder,Defensive Midfielder,MDC,non
Bakary Koné,Forward,Striker,BU,non
Miguel Lopes,Defender,Right-Back,DD,non
Milovan Biševac,Defender,Centre-Back,DC,non
Mouhamadou Dabo,Defender,Right-Back,DD,non
Yassine Benzia,Forward,Winger,AG,oui
Clinton N'Jie,Forward,Winger,AD,oui
Sergi Darder,Midfielder,Central Midfielder,MC,non
Farès Bahlouli,Midfielder,Attacking Midfielder,MOC,non
Adama Traoré (defender),Defender,Left-Back,DG,non
Nicolas N'Koulou,Defender,Centre-Back,DC,non
Maciej Rybus,Defender,Left-Back,DG,non
Emanuel Mammana,Defender,Centre-Back,DC,non
Marçal,Defender,Left-Back,DG,non
Willem Geubbels,Forward,Striker,BU,non
Andersen (Joachim),Defender,Centre-Back,DC,non
Ciprian Tătărușanu,Goalkeeper,Goalkeeper,G,non
Jean Lucas,Midfielder,Central Midfielder,MC,non
Damien Da Silva,Defender,Centre-Back,DC,non
Romain Faivre,Midfielder,Attacking Midfielder,MOC,non
Emerson Palmieri,Defender,Left-Back,DG,non
Jerome Boateng,Defender,Centre-Back,DC,non
Henrique,Defender,Centre-Back,DC,non
Rominigue Kouamé,Midfielder,Central Midfielder,MC,non
Tetê,Forward,Winger,AD,oui
Skelly Alvero,Midfielder,Central Midfielder,MC,non
Orel Mangala,Midfielder,Central Midfielder,MC,non
